Model,Features,accelerator,avg_r2,avg_mae,avg_train_time_sec,speedup_train_vs_cpu,avg_peak_gpu_memory_mb
LSTM,Baseline,CPU,0.0966569596422159,50.55299052666019,22.794703502399894,0.7828375794895188,2418.2
LSTM,Enhanced,CPU,0.3110436564563111,43.35735256966411,17.904015518200005,1.0,954.8
LSTM,Enhanced_2,CPU,0.288813159162115,43.79750587202447,17.731048529600002,1.0,5547.0
MLP,Baseline,CPU,-0.0451267334697733,55.87452826199166,2.4660769214000537,0.28672691904455183,5360.0
MLP,Enhanced,CPU,0.3807349261841094,41.17159113509587,0.287954447800007,2.6644976476725017,5543.8
MLP,Enhanced_2,CPU,0.3789372904962479,41.12332122472672,2.052125196400175,0.3807952048787022,5547.0
RF,Baseline,CPU,0.3201020351376006,43.00397094255337,10.124150969400215,0.253398643575539,4438.6
RF,Enhanced,CPU,0.4624332704526581,38.05305597472176,2.8394416431999616,1.0,5376.0
RF,Enhanced_2,CPU,0.4212401800945528,39.76643083218629,14.183024796599785,0.22226350053027968,5547.0
XGB,Baseline,CPU,0.3051694981093147,43.946343908907735,1.539642219399775,0.7650037894252962,5360.0
XGB,Enhanced,CPU,0.4461169448176141,39.224923932157125,1.862120818600215,0.2514270576448921,5543.8
XGB,Enhanced_2,CPU,0.4412492815509575,39.5373673675821,1.5854136315998404,0.27464586800642726,5547.0
