Model,Features,accelerator,avg_train_time_sec,speedup_train_vs_cpu,avg_r2,avg_mae,avg_peak_gpu_memory_mb
LSTM,Baseline,CPU,8.19673564079999,2.177031356992549,0.0914734072993431,51.28068121907679,954.8
LSTM,Enhanced,CPU,8.107383053799982,2.2083593928386396,0.3005981140755026,43.636151697463305,954.8
LSTM,Enhanced_2,CPU,8.421063017200026,2.1055594161193576,0.2834257730988753,44.00876133368942,958.0
MLP,Baseline,CPU,0.3602660280000236,1.9626902978480796,-0.0451267334697734,55.87452826199166,2407.8
MLP,Enhanced,CPU,0.287954447800007,2.6644976476725017,0.3807349261841094,41.17159113509587,2492.8
MLP,Enhanced_2,CPU,0.3035505981999449,2.5743300762175654,0.3789372904962479,41.12332122472672,5547.0
RF,Baseline,CPU,0.6213213207999843,4.129016721487755,0.3201020351376006,43.00397094255338,1997.4
RF,Enhanced,CPU,0.6664987297999915,4.2602356407371476,0.462433270452658,38.053055974721765,2418.2
RF,Enhanced_2,CPU,0.5638142648000212,5.591147539550347,0.4212401800945528,39.766430832186295,2496.0
XGB,Baseline,CPU,0.4505113901999721,2.6144336365772847,0.3051694981093147,43.946343908907735,946.8
XGB,Enhanced,CPU,0.3374081626000361,1.3875999762191285,0.4461169448176141,39.224923932157125,2492.8
XGB,Enhanced_2,CPU,0.303797787800022,1.4332800319355348,0.4412492815509575,39.5373673675821,2496.0
