accelerator,Model,Features,Fold,mae,r2,train_time_sec,infer_time_sec,peak_cpu_percent,peak_memory_mb,peak_gpu_util_percent,peak_gpu_memory_mb
CPU,RF,Baseline,1,41.9294783067892,0.34323671695071156,4.968950854000013,0.05224760300006892,264.8,3517.06640625,,
CPU,XGB,Baseline,1,41.69347026625352,0.3605108646895996,1.2269914240000617,0.029989837000130137,699.3,3731.05859375,,
CPU,MLP,Baseline,1,54.3005716904483,-0.012858157042367813,0.8002889959998356,0.0013218960000358493,154.0,3737.484375,,
CPU,LSTM,Baseline,1,50.834668484005896,0.03478115974589946,19.002547407999828,0.13216466699986995,293.2,3744.14453125,,
CPU,RF,Enhanced,1,35.83437399561524,0.5052010158600355,2.9645053829999597,0.08773318600015045,680.1,3644.8046875,,
CPU,XGB,Enhanced,1,37.679004056272184,0.4818518605456993,0.41886445500017544,0.0034544410000307835,18.5,3648.953125,,
CPU,MLP,Enhanced,1,38.21960490310725,0.4507281149129777,0.6595062799999596,0.0017565409998496762,184.1,3651.3359375,,
CPU,LSTM,Enhanced,1,41.684357293008695,0.3251109461789732,17.40054341799987,0.13021188500010794,310.2,3735.0859375,,
CPU,RF,Enhanced_2,1,38.89742553226092,0.42183334683868334,3.724393756000154,0.08209932899990235,751.2,3744.4609375,,
CPU,XGB,Enhanced_2,1,38.047312238552806,0.4715462536949814,0.4361754019998898,0.0038093059999937395,9.6,3747.3046875,,
CPU,MLP,Enhanced_2,1,37.60481571233141,0.46423157744368526,0.7895194499999434,0.0015700750000178232,116.0,3750.703125,,
CPU,LSTM,Enhanced_2,1,40.41774186431563,0.3463707655811783,18.095978111000022,0.12405400000011468,283.6,3793.0546875,,
CPU,RF,Baseline,2,43.85492812459162,0.2965894232168167,1.9796744980001222,0.08695336400000997,387.2,3794.9609375,,
CPU,XGB,Baseline,2,45.62151745455669,0.266344731961357,0.24460712599989165,0.0029210909999619616,361.4,3793.46484375,,
CPU,MLP,Baseline,2,57.92917608068255,-0.2824145078778717,0.7360371839999971,0.0015156220001699694,107.0,3793.6015625,,
CPU,LSTM,Baseline,2,51.180927315583645,0.06991796741845213,17.286919091000073,0.12100395099992056,305.0,3869.98828125,,
CPU,RF,Enhanced,2,39.0758943347388,0.4467625182358652,2.740162380999891,0.05012647800003833,659.6,3871.70703125,,
CPU,XGB,Enhanced,2,40.29604883596554,0.42343360276336817,0.42207786899984967,0.003636861999893881,9.6,3870.24609375,,
CPU,MLP,Enhanced,2,42.847371890028164,0.3493190594763823,0.7594628280000961,0.0013904920001550636,107.6,3867.25,,
CPU,LSTM,Enhanced,2,44.59508963586007,0.2989171210728535,17.578686944000083,0.1259555259998706,308.0,3954.21484375,,
CPU,RF,Enhanced_2,2,39.21033794335689,0.44210569504099784,3.124795352999854,0.042214030999957686,740.0,3955.29296875,,
CPU,XGB,Enhanced_2,2,40.519876333434894,0.4207982630166953,0.4151167649999934,0.004335826999977144,257.4,3950.8359375,,
CPU,MLP,Enhanced_2,2,43.37682953907998,0.32831817732703694,0.6965313489999971,0.001507102000005034,106.3,3948.71484375,,
CPU,LSTM,Enhanced_2,2,45.067058472122554,0.2765017110169905,17.43714236599999,0.12241052100011984,305.1,4038.12109375,,
CPU,RF,Baseline,3,42.47472604262107,0.3138335978083524,1.974622810000028,0.08597199499990893,370.4,4038.9765625,,
CPU,XGB,Baseline,3,43.465423776141535,0.298492872252071,0.253109909999921,0.002898334999827057,134.1,4035.9296875,,
CPU,MLP,Baseline,3,55.7891659801433,0.011767944197934255,0.6460231399998975,0.0013931429998592648,368.7,4033.8515625,,
CPU,LSTM,Baseline,3,49.720873066087385,0.11671682564648389,18.70489804099998,0.13811392999991767,318.2,4043.1875,,
CPU,RF,Enhanced,3,37.73865723734383,0.4798852294696785,3.0170946850000746,0.08590287999982138,703.8,3970.55859375,,
CPU,XGB,Enhanced,3,38.808292990901144,0.4654789328238632,0.4140955649997977,0.0035073490000741003,382.7,3969.57421875,,
CPU,MLP,Enhanced,3,41.06730340559481,0.3608886994952738,0.844161738999901,0.0016086690000065573,113.2,3972.29296875,,
CPU,LSTM,Enhanced,3,42.25191533421338,0.37112385072632337,18.289234665000095,0.12258724000002985,292.1,4040.125,,
CPU,RF,Enhanced_2,3,42.05826961799135,0.37837061138565786,3.2017114239999955,0.10121474899983696,690.6,4044.53125,,
CPU,XGB,Enhanced_2,3,38.98400534422553,0.4689973163903586,0.46954802400000517,0.0037236339999253687,330.5,4041.14453125,,
CPU,MLP,Enhanced_2,3,41.577562169594316,0.355891213889758,0.7897438820000389,0.0014508510000723618,106.8,4040.56640625,,
CPU,LSTM,Enhanced_2,3,44.3608540304662,0.3118581520241914,17.937628529999984,0.1521392829999968,298.5,4119.25390625,,
CPU,RF,Baseline,4,43.78559429773185,0.2703454395659223,1.959405385999844,0.05076525899994522,337.4,4121.0703125,,
CPU,XGB,Baseline,4,44.76908657618589,0.25998276221342487,0.272705698999971,0.0028847860000951187,9.6,4118.0546875,,
CPU,MLP,Baseline,4,55.507005489068504,-0.0018585152922165893,0.6180247099998724,0.001342591000138782,129.7,4117.75,,
CPU,LSTM,Baseline,4,51.09431486017635,0.053466808662929854,17.30202589999999,0.12681518600015806,326.0,4192.4921875,,
CPU,RF,Enhanced,4,39.33882222540768,0.40095442453630936,2.7056516299999203,0.049450390999936644,662.2,4196.14453125,,
CPU,XGB,Enhanced,4,40.348001826624454,0.3779978621692276,0.41967724699998143,0.0036453949999213364,249.5,4188.99609375,,
CPU,MLP,Enhanced,4,41.693654476590375,0.338375127853774,0.8176851139999144,0.0015033570000468899,106.6,4187.88671875,,
CPU,LSTM,Enhanced,4,45.14157323942159,0.248625727132191,18.991691605999904,0.1356449499999144,314.8,4217.390625,,
CPU,RF,Enhanced_2,4,39.49860955811172,0.4022485354517895,2.8380453620000026,0.05221916699997564,651.1,4135.13671875,,
CPU,XGB,Enhanced_2,4,40.47555225148014,0.3774972440479675,0.43594892700002674,0.003622942999982115,18.2,4132.79296875,,
CPU,MLP,Enhanced_2,4,42.45518214763863,0.3204349811764088,0.8138884499999222,0.0016297239999403246,188.5,4132.0234375,,
CPU,LSTM,Enhanced_2,4,46.0621788880844,0.19448060810002277,17.52728497299995,0.12512033300004077,291.3,4204.95703125,,
CPU,RF,Baseline,5,42.97512794103313,0.3765049981462003,1.9445770669999547,0.08976265899991631,351.5,4200.7578125,,
CPU,XGB,Baseline,5,44.18222147140104,0.3405162594301211,0.2551427920000151,0.0030049160000089614,142.1,4198.24609375,,
CPU,MLP,Baseline,5,55.84672206961564,0.05972956866565504,0.7350791589999517,0.0014628590001848352,113.9,4195.24609375,,
CPU,LSTM,Baseline,5,49.64470196927994,0.15409451654015416,16.92636213500009,0.125688498000045,304.9,4274.48046875,,
CPU,RF,Enhanced,5,38.277532080503256,0.4793631641614018,2.7697941369999626,0.04299286500008748,567.1,4270.484375,,
CPU,XGB,Enhanced,5,38.99327195102233,0.4818224657859125,0.6662226559999453,0.02882411099994897,719.1,4267.44921875,,
CPU,MLP,Enhanced,5,42.03002100015875,0.40436362918213875,0.7554537829998935,0.0014062380000723351,101.5,4266.95703125,,
CPU,LSTM,Enhanced,5,43.1138273458168,0.3114406371712145,17.259920958000066,0.13735591399995428,298.2,4352.8828125,,
CPU,RF,Enhanced_2,5,39.1675115092106,0.4616427117556352,2.872897802000125,0.048077659000000494,734.2,4347.12890625,,
CPU,XGB,Enhanced_2,5,39.66009067021715,0.4674073306047849,0.42034739699988677,0.003782046999958766,9.4,4343.8203125,,
CPU,MLP,Enhanced_2,5,40.602216554989226,0.4258105026443505,0.817514041999857,0.0015036869999676128,107.5,4342.02734375,,
CPU,LSTM,Enhanced_2,5,43.07969610513355,0.31485455908819215,17.657208668000067,0.12950039700012894,310.0,4430.9609375,,
